Attribute 	Generic Key 	ID3v22 	ID3v23 	ID3v24 	Mp4 	OggVorbis 	Flac 	Wma
Catalog No 	CATALOG_NO 	TXX:CATALOGNUMBER 	TXXX:CATALOGNUMBER 	TXXX:CATALOGNUMBER 	----:com.apple.iTunes:CATALOGNUMBER 	CATALOGNUMBER 	CATALOGNUMBER 	WM/CatalogNo
Record Label 	RECORD_LABEL 	TPB 	TPUB 	TPUB 	----:com.apple.iTunes:LABEL 	LABEL 	LABEL 	WM/Publisher
Lyricist 	LYRICIST 	TXT 	TEXT 	TEXT 	----:com.apple.iTunes:LYRICIST 	LYRICIST 	LYRICIST 	WM/Writer
Conductor 	CONDUCTOR 	TP3 	TPE3 	TPE3 	----:com.apple.iTunes:CONDUCTOR 	CONDUCTOR 	CONDUCTOR 	WM/Conductor
Remixer 	REMIXER 	TP4 	TPE4 	TPE4 	----:com.apple.iTunes:REMIXER 	REMIXER 	REMIXER 	WM/ModifiedBy
Mood 	MOOD 	TXX:MOOD 	TXXX:MOOD 	TMOO 	----:com.apple.iTunes:MOOD 	MOOD 	MOOD 	WM/Mood
Media 	MEDIA 	TMT 	TMED 	TMED 	----:com.apple.iTunes:MEDIA 	MEDIA 	MEDIA 	WM/Media
URL 	URL_OFFICIAL_RELEASE_SITE 	WXX:OFFICIAL_RELEASE 	WXXX:OFFICIAL_RELEASE 	WXXX:OFFICIAL_RELEASE 	----:com.apple.iTunes:URL_OFFICIAL_RELEASE_SITE 	URL_OFFICIAL_RELEASE_SITE 	URL_OFFICIAL_RELEASE_SITE 	WM/OfficialReleaseUrl
Discogs Release Site Url 	URL_DISCOGS_RELEASE_SITE 	WXX:DISCOGS_RELEASE 	WXXX:DISCOGS_RELEASE 	WXXX:DISCOGS_RELEASE 	----:com.apple.iTunes:URL_DISCOGS_RELEASE_SITE 	URL_DISCOGS_RELEASE_SITE 	URL_DISCOGS_RELEASE_SITE 	WM/DiscogsReleaseUrl
Wikipedia Release Site Url 	URL_WIKIPEDIA_RELEASE_SITE 	WXX:WIKIPEDIA_RELEASE 	WXXX:WIKIPEDIA_RELEASE 	WXXX:WIKIPEDIA_RELEASE 	----:com.apple.iTunes:URL_WIKIPEDIA_RELEASE_SITE 	URL_WIKIPEDIA_RELEASE_SITE 	URL_WIKIPEDIA_RELEASE_SITE 	WM/WikipediaReleaseUrl
Official Artist Site Url 	URL_OFFICIAL_ARTIST_SITE 	WAR 	WOAR 	WOAR 	----:com.apple.iTunes:URL_OFFICIAL_ARTIST_SITE 	URL_OFFICIAL_ARTIST_SITE 	URL_OFFICIAL_ARTIST_SITE 	WM/AuthorURL
Discogs Artist Site Url 	URL_DISCOGS_ARTIST_SITE 	WXX:DISCOGS_ARTIST 	WXXX:DISCOGS_ARTIST 	WXXX:DISCOGS_ARTIST 	----:com.apple.iTunes:URL_DISCOGS_ARTIST_SITE 	URL_DISCOGS_ARTIST_SITE 	URL_DISCOGS_ARTIST_SITE 	WM/DiscogsArtistUrl
Wikipedia Artist Site Url 	URL_WIKIPEDIA_ARTIST_SITE 	WXX:WIKIPEDIA_ARTIST 	WXXX:WIKIPEDIA_ARTIST 	WXXX:WIKIPEDIA_ARTIST 	----:com.apple.iTunes:URL_WIKIPEDIA_ARTIST_SITE 	URL_WIKIPEDIA_ARTIST_SITE 	URL_WIKIPEDIA_ARTIST_SITE 	WM/WikipediaArtistUrl
Language 	LANGUAGE 	TLA 	TLAN 	TLAN 	----:com.apple.iTunes:LANGUAGE 	LANGUAGE 	LANGUAGE 	WM/Language
Lyrics Site Url 	LYRICS_SITE 	WXX:LYRICS_SITE 	WXXX:LYRICS_SITE 	WXXX:LYRICS_SITE 	----:com.apple.iTunes:URL_LYRICS_SITE 	URL_LYRICS_SITE 	URL_LYRICS_SITE 	WM/LyricsUrl
Total Tracks 	TRACK_TOTAL 	TRK 	TRCK 	TRCK 	trkn 	TRACKTOTAL 	TRACKTOTAL 	WM/TrackTotal
Total Discs 	DISC_TOTAL 	TPA 	TPOS 	TPOS 	disk 	DISCTOTAL 	DISCTOTAL 	WM/DiscTotal
